name,ingredients,diet,state,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,West Bengal,East
Boondi,"Gram flour, ghee, sugar",vegetarian,Rajasthan,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,Punjab,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,Rajasthan,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,West Bengal,East
Imarti,"Sugar syrup, lentil flour",vegetarian,West Bengal,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,Uttar Pradesh,North
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,-1,-1
Kalakand,"Milk, cottage cheese, sugar",vegetarian,West Bengal,East
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,-1,-1
Laddu,"Gram flour, ghee, sugar",vegetarian,-1,-1
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,Punjab,North
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,-1,-1
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,Uttar Pradesh,North
Phirni,"Rice, sugar, nuts",vegetarian,Odisha,East
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,Uttar Pradesh,North
Sheera,"Semolina, ghee, nuts, milk",vegetarian,Maharashtra,West
Singori,"Khoa, coconut, molu leaf",vegetarian,Uttarakhand,North
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,Uttar Pradesh,North
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,Maharashtra,West
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,Odisha,East
Chhena kheeri,"Chhena, sugar, milk",vegetarian,Odisha,East
Chhena poda,"Sugar, chenna cheese",vegetarian,Odisha,East
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,West Bengal,East
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,Odisha,East
Ledikeni,"Chhena, sugar, ghee",vegetarian,West Bengal,East
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,Assam,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,Bihar,North
Mihidana,"Besan flour, sugar, ghee",vegetarian,West Bengal,East
Misti doi,"Milk, jaggery",vegetarian,West Bengal,East
Pantua,"Chhena, sugar, ghee, flour",vegetarian,West Bengal,East
Pithe,"Rice flour, wheat flour",vegetarian,Assam,North East
Rasabali,"Chenna, sweetened milk",vegetarian,Odisha,East
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,West Bengal,East
Rasgulla,"Chhena, sugar, cardamom",vegetarian,West Bengal,East
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,West Bengal,East
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,West Bengal,East
Ariselu,"Rice flour, jaggery, ghee",vegetarian,Andhra Pradesh,South
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,Andhra Pradesh,South
Chikki,"Peanuts, jaggery",vegetarian,Maharashtra,West
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,Karnataka,South
Double ka meetha,"Loaf bread, milk",vegetarian,Telangana,South
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,Andhra Pradesh,South
Kakinada khaja,"Wheat flour, sugar",vegetarian,Andhra Pradesh,South
Kuzhi paniyaram,"Black lentils, rice",vegetarian,Kerala,South
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,Karnataka,South
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,Karnataka,South
Palathalikalu,"Rice flour, milk",vegetarian,Andhra Pradesh,South
Poornalu,"Chana dal, jaggery",vegetarian,Andhra Pradesh,South
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,Tamil Nadu,South
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,Andhra Pradesh,South
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,Telangana,South
Sheer korma,"Vermicelli pudding, milk",vegetarian,Telangana,South
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,Tamil Nadu,South
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,Andhra Pradesh,South
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,Maharashtra,West
